Lista de participantes ativos do Pix
 ;Nome Reduzido;ISPB;CNPJ;Tipo de Instituição;Autorizada pelo BCB;Tipo de Participação no SPI;Tipo de Participação no Pix;Modalidade de Participação no Pix;Iniciação de Transação de Pagamento;Facilitador de serviço de Saque e Troco (FSS)
340;CCLA SICOOB CREDMISSÃO LTDA.;01667352;01.667.352/0001-68;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
341;CCLA SICOOB UNIÃO SUDESTE;07946216;07.946.216/0001-93;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
342;CCLA SICOOB UNIMAIS METROPOLITANA;00259231;00.259.231/0001-14;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
343;CCLA SICOOB VALCREDI SUL;02090126;02.090.126/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
344;CCLA SUDOESTE GOIANO;24795049;24.795.049/0001-46;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
345;CCLA SUL CATARINENSE;81367880;81.367.880/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
346;CCLA SUL MARANHENSE - SICOOB SUL MARANHENSE;26526166;26.526.166/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
347;CCLA SUL MINAS-SICOOB CREDIVAS;01604998;01.604.998/0001-04;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
348;CCLA TRANSPORT RODOV VEICULOS;07789195;07.789.195/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
349;CCLA TRÊS FRONTEIRAS;04876393;04.876.393/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
350;CCLA UNIÃO CENTRO OESTE MINAS;01703620;01.703.620/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
351;CCLA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.;01060307;01.060.307/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
352;CCLA UNIÃO E NEGÓCIOS  - SICOOB INTEGRAÇÃO;08742188;08.742.188/0001-55;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
353;CCLA URUBICI;02587492;02.587.492/0001-99;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
354;CCLA VALE DO AÇO;19869338;19.869.338/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
355;CCLA VALE DO ARAGUAIA;24830879;24.830.879/0001-67;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
356;CCLA VALE DO PARANAÍBA;24799033;24.799.033/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
357;CCLA VALE DO PARANAPANEMA;01637949;01.637.949/0001-60;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
358;CCLA VALE DO RIO DO PEIXE;78865995;78.865.995/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
359;CCLA VALE DO RIO GRANDE;25683475;25.683.475/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
360;CCLA VALE DO VINHO;81016131;81.016.131/0001-69;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
361;CCLA VALE SÃO PATRICIO LTDA;00968602;00.968.602/0001-37;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
362;CCLA ZONA DA MATA LTDA;02335109;02.335.109/0001-05;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
363;CCLAA AURIVERDE-SICOOB CREDIAL;78858107;78.858.107/0001-62;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
364;CCLAA ITAIPU SICOOB CREDITAIPU;81014060;81.014.060/0001-65;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
365;CCLAA NOVA TRENTO;02641969;02.641.969/0001-77;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
366;CCLAA OESTE CATARINENSE;78825023;78.825.023/0001-22;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
367;CCLAA SAO MIGUEL DO OESTE;81607046;81.607.046/0001-75;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
368;CCLAA SICOOB MAXICRÉDITO;78825270;78.825.270/0001-29;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
369;CCM CORRET SEG EST SAO PAULO;08030602;08.030.602/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
370;CCM DESP TRÂNS SC E RS;04715685;04.715.685/0001-03;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
371;CCM DO ABC - COOPER 7;04414354;04.414.354/0001-33;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
372;CCM DO CEARÁ - SICOOB CEARÁ;03620772;03.620.772/0001-14;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
373;CCM DOS ADVOGADOS DE SC;05861932;05.861.932/0001-42;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
374;CCM EMPR MAGAZINE LUIZA;02093154;02.093.154/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
375;CCM MED EMP MT;36900256;36.900.256/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
376;CCM PROF SAUDE E LIVRE ADMISSÃO TEOFILO OTONI LTDA;01709266;01.709.266/0001-70;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
377;CCM SERV FEDERAIS NA PARAÍBA - SICOOB COOPERCRET;02275781;02.275.781/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
378;CCM SERV MIN EDUC SÃO PAULO;73092827;73.092.827/0001-46;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
379;CCM SERV MUN S JOAO BOA VISTA;74248949;74.248.949/0001-41;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
380;CCM SERV PUBLICOS - CREDI SP;03612679;03.612.679/0001-68;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
381;CCM SICOOB CREDIACISC;07669921;07.669.921/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
382;CCMLA REGIãO ADMINISTRATIVA DE SOROCABA;10175348;10.175.348/0001-73;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
383;CCMS MUNICIPAIS DE BEBEDOURO;05969937;05.969.937/0001-93;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
384;CCPS E LA DO TRIANG MINEIRO E SUL DE MG LTDA;71432926;71.432.926/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
385;CCR COOPAVEL;76461557;76.461.557/0001-91;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
386;CCR DE ABELARDO LUZ;01073966;01.073.966/0001-11;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
387;CCR DE GUACUI;32422628;32.422.628/0001-71;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
388;CCR DE IBIAM;08240446;08.240.446/0001-03;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Sim
389;CCR DO AGRESTE ALAGOANO;08482873;08.482.873/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
390;CCR FOR CANA CENTRO EST SP;53776852;53.776.852/0001-31;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
391;CCR IRAI - SICOOB CREDIMIL;71207740;71.207.740/0001-41;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
392;CCR SEARA;00204963;00.204.963/0001-07;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
393;CDC SCD S.A.;18394228;18.394.228/0001-79;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Sim
394;CECM APOS PENS E IDOSOS - SICOOB COOPERNAPI;16564240;16.564.240/0001-59;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
395;CECM COL GRUPO EMPR A COSTA;20062766;20.062.766/0001-08;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
396;CECM COOPERSERV;05667301;05.667.301/0001-97;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
397;CECM DOS EMPR DAS EMP RANDON;89280960;89.280.960/0001-66;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
398;CECM DOS FUNCIONARIOS DA COMIGO;01062439;01.062.439/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
399;CECM DOS TRAB.PORT. DA G.VITOR;03844699;03.844.699/0001-64;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Sim;Não
400;CECM EMP AMERICANA, LIMEIRA E;09579249;09.579.249/0001-78;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
401;CECM EMP INST SF SÃO PAULO CAM;03674133;03.674.133/0001-31;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
402;CECM EMP USAGRO;68969625;68.969.625/0001-08;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
403;CECM EMPR CEMIG IND METAL E SERV PUB MUN;17502881;17.502.881/0001-41;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
404;CECM EMPR CENT ELÉTRICAS/SC;08850613;08.850.613/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
405;CECM EMPR EMP ZILLO LORENZETTI;58022195;58.022.195/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
406;CECM EMPR EST HOSP BH RM ZM;19402130;19.402.130/0001-89;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
407;CECM INTEG. MF DP ESTADO RJ;04694278;04.694.278/0001-67;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
408;CECM MAGISTRADOS DE SÃO PAULO;51489318;51.489.318/0001-19;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
409;CECM MÉD DE PORTO ALEGRE;94433109;94.433.109/0001-66;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
410;CECM MEDICOS E PROFISSIONAIS AREA SAUDE DO BRASIL;42898825;42.898.825/0001-15;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
411;CECM MÉDICOS PLANALTO MÉDIO RS - CREDISIS/CREDIPLAN;97259253;97.259.253/0001-16;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
412;CECM MILITARES ESTADUAIS DE SC;04572960;04.572.960/0001-87;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
413;CECM PROF ÁREA NOTARIAL REGISTRAL;07714057;07.714.057/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
414;CECM SERV E EMPREG PUBL MUN BH BETIM BRUMAD CONTAG IBI NL RN;01864151;01.864.151/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
415;CECM SERV MUN ITABIRA;16651002;16.651.002/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
416;CECM SERV MUN POÇOS DE CALDAS;41791005;41.791.005/0001-67;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
417;CECM SERV POD JUD TCE ORG PUBL MUN EST FED RJ;02000895;02.000.895/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
418;CECM SERV POL MIL SP REGIÃO CE;04152107;04.152.107/0001-06;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
419;CECM SICOOB COOPERAC;08071414;08.071.414/0001-13;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
420;CECM SICOOB CRED-ACILPA;09004796;09.004.796/0001-25;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
421;CECM SICOOB CREDSAÚDE;02072790;02.072.790/0001-46;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
422;CECM SICOOB METALCRED;04833655;04.833.655/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
423;CECM TRAB CIA PROC DADOS SP;67915868;67.915.868/0001-92;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
424;CECM UNICRED INTEGRAÇÃO;73750424;73.750.424/0001-47;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
425;CECME CHOCOLATES GAROTO LTDA;30949267;30.949.267/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
426;CECME EMPR EMP GR ECON RHODIA;57563728;57.563.728/0001-49;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
427;CECMF SECRETARIA DA FAZENDA MG E LIVRE ADMISSÃO;16721078;16.721.078/0001-35;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
428;CELCOIN IP S.A.;13935893;13.935.893/0001-09;Instituição de Pagamento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Sim
429;CENTRAL SICOOB UNI DE CC;04243780;04.243.780/0001-51;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
430;CHRISTIAN FAMILY IP;38406148;38.406.148/0001-01;Instituição de Pagamento;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
431;CIELO IP S.A.;01027058;01.027.058/0001-91;Instituição de Pagamento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
432;CIVIA COOP CRED;10218474;10.218.474/0001-68;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
433;CLARA IP;41538335;41.538.335/0001-45;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
434;CLARO PAY S.A. IP;34878543;34.878.543/0001-28;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
435;CLOUDWALK IP LTDA;18189547;18.189.547/0001-42;Instituição de Pagamento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
436;CLUBE AGRO;31841474;31.841.474/0001-90;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
437;COBUCCIO S.A. SCFI;36947229;36.947.229/0001-85;Sociedade de Crédito, Financiamento e Investimento;Sim;Direta;Facultativa;Liquidante Especial;Não;N/A
438;CODEPAY;26721922;26.721.922/0001-81;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
439;CONPAY IP S.A.;31531997;31.531.997/0001-30;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
440;CONTA PRONTA IP;12473687;12.473.687/0001-61;Instituição de Pagamento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
441;CONTAAZUL IP LTDA.;47381104;47.381.104/0001-57;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
442;COOP  SICOOB MÉDIO OESTE;07318874;07.318.874/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
443;COOP ARACOOP LTDA. - SICOOB ARACOOP;03320525;03.320.525/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
444;COOP CENTRO NORTE BRASILEIRO;02282709;02.282.709/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
445;COOP COOPERFORTE LTDA.;01658426;01.658.426/0001-08;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
446;COOP CREDI&GENTE;82096447;82.096.447/0001-70;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
447;COOP CREDICAPI LTDA - SICOOB CREDICAPI;00804046;00.804.046/0001-63;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
448;COOP CREDICOMIN;09590601;09.590.601/0001-76;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
449;COOP CRESERV CREDISIS;04831810;04.831.810/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
450;COOP CRESOL ALIANÇA;07412987;07.412.987/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
451;COOP CRESOL ALTERNATIVA;07215632;07.215.632/0001-11;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
452;COOP CRESOL ALTO VALE;07465539;07.465.539/0001-65;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
453;COOP CRESOL AMAZONIA;10520232;10.520.232/0001-24;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
454;COOP CRESOL ARATIBA;04565791;04.565.791/0001-58;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
455;COOP CRESOL ATIVA;07946451;07.946.451/0001-65;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
456;COOP CRESOL ÁUREA;02904138;02.904.138/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
457;COOP CRESOL CENTRO NORTE;05211129;05.211.129/0001-62;Cooperativa de Crédito;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
458;COOP CRESOL CENTRO SERRA;01155801;01.155.801/0001-99;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
459;COOP CRESOL CENTRO SUL;02910987;02.910.987/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
460;COOP CRESOL CONEXÃO;11969853;11.969.853/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
461;COOP CRESOL CONFIANÇA;07252614;07.252.614/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
462;COOP CRESOL COOPERACRED;09488496;09.488.496/0001-69;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
463;COOP CRESOL COOPERAR;05983995;05.983.995/0001-71;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
464;COOP CRESOL DESENVOLVIMENTO;05425526;05.425.526/0001-37;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
465;COOP CRESOL ENCOSTAS DA SERRA GERAL;03485130;03.485.130/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
466;COOP CRESOL ESSENCIA;06031727;06.031.727/0001-12;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
467;COOP CRESOL EVOLUÇAO;02844024;02.844.024/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
468;COOP CRESOL FRONTEIRAS PR/SC/SP/ES;05276770;05.276.770/0001-85;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
469;COOP CRESOL GETULIO VARGAS;05241145;05.241.145/0001-06;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
470;COOP CRESOL GOIAS;04490531;04.490.531/0001-60;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
471;COOP CRESOL GRANDES LAGOS PR/SP;06126780;06.126.780/0001-05;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
472;COOP CRESOL HORIZONTE;05277312;05.277.312/0001-60;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
473;COOP CRESOL INOVAÇAO;05070112;05.070.112/0001-32;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
474;COOP CRESOL INTEGRACAO;07268499;07.268.499/0001-61;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
475;COOP CRESOL INTERAÇÃO;08055016;08.055.016/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
476;COOP CRESOL JACINTO MACHADO;09463721;09.463.721/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
477;COOP CRESOL JACUTINGA;02904125;02.904.125/0001-71;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
478;COOP CRESOL LIDERANCA;02934201;02.934.201/0001-91;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
479;COOP CRESOL LITORAL;05410056;05.410.056/0001-38;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
480;COOP CRESOL MAIS;05269976;05.269.976/0001-88;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
481;COOP CRESOL MATO GROSSO;50735161;50.735.161/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
482;COOP CRESOL MINAS GERAIS;08624548;08.624.548/0001-14;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
483;COOP CRESOL MISSÕES FRONTEIRA RS;08488377;08.488.377/0001-43;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
484;COOP CRESOL NASCENTE;05494591;05.494.591/0001-14;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
485;COOP CRESOL NOROESTE;02663426;02.663.426/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
486;COOP CRESOL NORTE PARANAENSE;07925729;07.925.729/0001-18;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
487;COOP CRESOL ORIGENS;05220243;05.220.243/0001-59;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
488;COOP CRESOL PIONEIRA;00971300;00.971.300/0001-18;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
489;COOP CRESOL PLANALTO SERRA SUL;05863726;05.863.726/0001-71;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
490;COOP CRESOL PLANALTO SUL;02766672;02.766.672/0001-38;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
491;COOP CRESOL PRIMATO CREDI;53575491;53.575.491/0001-65;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Sim;Não
492;COOP CRESOL PROGRESSO;02448310;02.448.310/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
493;COOP CRESOL RAIZ;17343510;17.343.510/0001-64;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
494;COOP CRESOL RIO GRANDE DO SUL;06139650;06.139.650/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
495;COOP CRESOL SÃO VALENTIM;03015152;03.015.152/0001-56;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
496;COOP CRESOL SERRA MAR;07958405;07.958.405/0001-86;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
497;COOP CRESOL TRADICAO;04350225;04.350.225/0001-29;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
498;COOP CRESOL TRANSAMAZÔNICA;24431221;24.431.221/0001-82;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
499;COOP CRESOL TRANSFORMAÇÃO;04261151;04.261.151/0001-54;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
500;COOP CRESOL TREZE DE MAIO;09330158;09.330.158/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
501;COOP CRESOL TRIUNFO;08560508;08.560.508/0001-56;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
502;COOP CRESOL UNIAO;02446089;02.446.089/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
503;COOP CRESOL UNIAO DOS VALES;05231945;05.231.945/0001-38;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
504;COOP CRESOL VALE;07320890;07.320.890/0001-68;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
505;COOP CRESOL VALE EUROPEU;07512780;07.512.780/0001-06;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
